iter	MultiClass
0	1.867121759
1	1.719940701
2	1.592374802
3	1.484433462
4	1.395511224
5	1.316344935
6	1.248930367
7	1.195242184
8	1.14459573
9	1.099846748
10	1.062721331
11	1.021895722
12	0.9882400132
13	0.9562298148
14	0.9249677856
15	0.8996619563
16	0.8767892452
17	0.8557873046
18	0.8360902063
19	0.8166027988
20	0.7986577125
21	0.7801912073
22	0.7613903136
23	0.7466600865
24	0.7324338464
25	0.7189371243
26	0.7074704984
27	0.6968988893
28	0.6859295009
29	0.6765171008
30	0.6669367146
31	0.6579839913
32	0.6481968432
33	0.6409373327
34	0.6333788454
35	0.6241431263
36	0.6173304013
37	0.6111610855
38	0.6041927734
39	0.5993728931
40	0.5930207667
41	0.5877016398
42	0.5815304568
43	0.5760084512
44	0.5707313456
45	0.5674790274
46	0.5628338716
47	0.5581328795
48	0.555134879
49	0.5514877337
50	0.5486457571
51	0.5447217431
52	0.5406855906
53	0.5374304462
54	0.5329684456
55	0.5305483588
56	0.5272001353
57	0.524304957
58	0.5215949201
59	0.5189425218
60	0.5156472159
61	0.5117164211
62	0.5088105844
63	0.5059512171
64	0.5037740747
65	0.5012798288
66	0.498610207
67	0.4966705384
68	0.4936272571
69	0.4903262406
70	0.4877409075
71	0.4846522535
72	0.4815227415
73	0.4792885748
74	0.4765973155
75	0.4741597005
76	0.4716041353
77	0.4700698766
78	0.4681897636
79	0.465791905
80	0.4636832008
81	0.4610457407
82	0.4590523325
83	0.4565023938
84	0.4543809617
85	0.4523254971
86	0.4491341234
87	0.4469172211
88	0.4447440162
89	0.4422913208
90	0.4399057693
91	0.438482839
92	0.4374706231
93	0.4361546153
94	0.4345661052
95	0.4333899298
96	0.4316050326
97	0.4305220541
98	0.4288585017
99	0.4271424697
100	0.4250052861
101	0.4237114308
102	0.4220848288
103	0.4197734401
104	0.4185870866
105	0.4168587985
106	0.4148898719
107	0.4134812458
108	0.4123088519
109	0.4111817887
110	0.4097950302
111	0.4079643238
112	0.4058112749
113	0.4051708436
114	0.4041078173
115	0.4024444344
116	0.4006939762
117	0.3988634251
118	0.3977869862
119	0.3964449223
120	0.3955794987
121	0.3945117884
122	0.393060225
123	0.3924727256
124	0.3907019062
125	0.3891758903
126	0.3874684365
127	0.3860590044
128	0.385099731
129	0.3840596027
130	0.3837745032
131	0.3832062012
132	0.3816490803
133	0.3803598051
134	0.3785836391
135	0.3769570491
136	0.3758310696
137	0.3747491384
138	0.3728047782
139	0.3709929367
140	0.3692440759
141	0.3672924884
142	0.3658472899
143	0.3646016306
144	0.3629452717
145	0.3623102314
146	0.3617613436
147	0.3608982395
148	0.3601480309
149	0.3586253317
150	0.3581627649
151	0.3573598921
152	0.356436166
153	0.3556251906
154	0.3551091352
155	0.3538789446
156	0.3530134208
157	0.3523094066
158	0.3513460242
159	0.3507221693
160	0.3502851591
161	0.3492930301
162	0.3488489176
163	0.348071042
164	0.3469125163
165	0.3462914363
166	0.3452991425
167	0.3447982428
168	0.3440715313
169	0.3427319407
170	0.3414386577
171	0.3406926816
172	0.34001164
173	0.3393878159
174	0.3379008171
175	0.3371289591
176	0.3362773086
177	0.3348963813
178	0.333871987
179	0.3332611406
180	0.3327580337
181	0.3318435019
182	0.3310704915
183	0.3301944173
184	0.3293769874
185	0.3284500605
186	0.3273628484
187	0.3266686412
188	0.3259420666
189	0.3251118575
190	0.3243630084
191	0.3230821702
192	0.3217932909
193	0.3206846733
194	0.3202410928
195	0.3189641264
196	0.3177073096
197	0.3172495263
198	0.316482176
199	0.3152834183
200	0.3147442629
201	0.3138357124
202	0.3128363112
203	0.3120530159
204	0.3113428245
205	0.3107640121
206	0.3102817128
207	0.30931771
208	0.3082278247
209	0.3069756222
210	0.3062329606
211	0.3048515432
212	0.3042434562
213	0.3035557939
214	0.3027433366
215	0.3021208585
216	0.301796365
217	0.3012340188
218	0.300848943
219	0.3005243669
220	0.3002416636
221	0.2993568289
222	0.298383092
223	0.2973837791
224	0.2970389245
225	0.2966360598
226	0.2959733872
227	0.2950885208
228	0.2946804826
229	0.2936804122
230	0.2932398398
231	0.2927761665
232	0.2920473371
233	0.2918126073
234	0.2908568468
235	0.2899214889
236	0.2894947549
237	0.2889079094
238	0.2882753786
239	0.2877296817
240	0.286915564
241	0.2863980066
242	0.285595823
243	0.2850339532
244	0.2844541322
245	0.2841087182
246	0.283707462
247	0.2833205663
248	0.2828010016
249	0.282151279
