iter	Passed	Remaining
0	21	5232
1	41	5151
2	59	4857
3	75	4634
4	91	4474
5	106	4347
6	121	4230
7	137	4150
8	151	4056
9	166	3992
10	180	3923
11	196	3899
12	211	3858
13	225	3807
14	241	3781
15	255	3740
16	270	3712
17	286	3688
18	301	3662
19	316	3636
20	331	3615
21	346	3596
22	362	3573
23	377	3551
24	392	3530
25	407	3510
26	422	3490
27	438	3472
28	455	3470
29	470	3449
30	486	3435
31	500	3410
32	514	3381
33	528	3356
34	542	3332
35	557	3312
36	571	3292
37	587	3275
38	602	3259
39	617	3240
40	631	3219
41	645	3197
42	659	3176
43	674	3156
44	688	3137
45	703	3120
46	719	3105
47	734	3089
48	748	3070
49	762	3050
50	776	3029
51	791	3011
52	804	2991
53	819	2974
54	833	2956
55	849	2941
56	863	2924
57	878	2907
58	893	2891
59	907	2873
60	920	2852
61	935	2835
62	949	2818
63	964	2803
64	979	2786
65	993	2770
66	1007	2753
67	1022	2736
68	1036	2719
69	1053	2708
70	1068	2693
71	1083	2677
72	1097	2661
73	1112	2646
74	1126	2628
75	1141	2613
76	1155	2597
77	1170	2581
78	1185	2566
79	1200	2551
80	1216	2537
81	1230	2521
82	1245	2505
83	1259	2488
84	1273	2471
85	1287	2455
86	1302	2439
87	1315	2422
88	1330	2406
89	1345	2391
90	1361	2378
91	1377	2365
92	1391	2349
93	1406	2334
94	1421	2318
95	1436	2304
96	1450	2288
97	1465	2272
98	1478	2255
99	1492	2238
100	1507	2223
101	1522	2208
102	1537	2193
103	1551	2178
104	1565	2162
105	1580	2146
106	1595	2131
107	1610	2117
108	1624	2101
109	1639	2087
110	1655	2072
111	1668	2056
112	1683	2041
113	1697	2025
114	1712	2010
115	1727	1995
116	1741	1980
117	1756	1965
118	1771	1950
119	1785	1934
120	1801	1920
121	1815	1904
122	1829	1889
123	1844	1873
124	1859	1859
125	1873	1843
126	1888	1828
127	1903	1814
128	1917	1799
129	1932	1784
130	1948	1769
131	1963	1754
132	1978	1740
133	1994	1726
134	2009	1711
135	2024	1696
136	2038	1681
137	2052	1666
138	2067	1650
139	2081	1635
140	2099	1622
141	2115	1608
142	2131	1594
143	2148	1581
144	2164	1567
145	2181	1553
146	2197	1539
147	2213	1525
148	2229	1511
149	2245	1496
150	2261	1482
151	2277	1468
152	2294	1454
153	2309	1439
154	2324	1424
155	2339	1409
156	2354	1394
157	2369	1379
158	2385	1365
159	2401	1350
160	2417	1336
161	2435	1322
162	2451	1308
163	2467	1293
164	2482	1279
165	2499	1264
166	2515	1249
167	2539	1239
168	2560	1227
169	2577	1212
170	2597	1199
171	2611	1184
172	2626	1169
173	2641	1153
174	2656	1138
175	2670	1122
176	2686	1107
177	2700	1092
178	2715	1077
179	2731	1062
180	2745	1046
181	2760	1031
182	2775	1016
183	2789	1000
184	2804	985
185	2820	970
186	2834	955
187	2849	939
188	2864	924
189	2877	908
190	2892	893
191	2906	878
192	2923	863
193	2938	848
194	2953	832
195	2967	817
196	2981	802
197	2996	786
198	3011	771
199	3025	756
200	3039	741
201	3054	725
202	3068	710
203	3084	695
204	3098	680
205	3113	665
206	3129	650
207	3145	635
208	3159	619
209	3174	604
210	3189	589
211	3207	574
212	3221	559
213	3237	544
214	3251	529
215	3266	514
216	3280	498
217	3295	483
218	3310	468
219	3326	453
220	3341	438
221	3356	423
222	3370	408
223	3384	392
224	3398	377
225	3412	362
226	3429	347
227	3445	332
228	3460	317
229	3474	302
230	3489	287
231	3503	271
232	3518	256
233	3533	241
234	3547	226
235	3562	211
236	3577	196
237	3592	181
238	3606	166
239	3622	150
240	3637	135
241	3654	120
242	3669	105
243	3684	90
244	3699	75
245	3713	60
246	3728	45
247	3743	30
248	3758	15
249	3772	0
