capture_id,window_idx,is_full_session,pkt_count,byte_count,duration_sec,byte_rate,pkt_rate,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_median,pkt_len_q05,pkt_len_q10,pkt_len_q25,pkt_len_q75,pkt_len_q90,pkt_len_q95,pkt_len_skew,pkt_len_kurtosis,pkt_len_entropy,pkt_len_autocorr,iat_mean,iat_std,iat_min,iat_max,iat_q10,iat_q25,iat_q50,iat_q75,iat_q90,iat_entropy,burstiness_coeff,idle_ratio,burst_count,burst_mean_pkts,fwd_pkt_ratio,fwd_byte_ratio,bwd_pkt_ratio,bwd_byte_ratio,fwd_bwd_iat_ratio,fwd_bwd_byte_skew,small_pkt_ratio,med_pkt_ratio,large_pkt_ratio,bimodal_index,tcp_like_ack_ratio,mtu_saturation_ratio,esp_spi_count,seq_gap_rate,label_class,label_mode,label_ike,label_crypto,label_nist,is_mixed
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,-1,1,328,100843.0,5.9797680377960205,16864.032076596734,54.85162600402337,307.4481707317073,47.45707684840313,42.0,374.0,314.0,232.3,278.0,294.0,338.0,350.0,354.0,-3.0125042501825585,12.29348179981702,2.258959236698404,0.3713747892325876,0.01828675240916214,0.006861551436906993,0.0,0.029308080673217773,0.0042252540588378915,0.017211556434631348,0.020014047622680664,0.022318601608276367,0.02436461448669434,2.577485680012239,0.375199274541215,0.0,19,3.789473684210526,0.9329268292682927,0.9357912795136996,0.06707317073170732,0.06420872048630048,0.08234452705303004,0.871582559027399,0.054878048780487805,0.9451219512195121,0.0,0.0,0.012195121951219513,0.0,2,0.04807692307692308,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,0,0,90,27741.0,1.4745829105377197,18812.777363521727,61.03420794913506,308.23333333333335,37.949396130461245,162.0,354.0,314.0,238.6,274.9,290.0,338.0,346.40000000000003,354.0,-1.5206101596901898,2.967344954992586,2.739798302249451,0.0519747833443335,0.01656834730941258,0.008412953383104202,0.0,0.02762293815612793,4.601478576660158e-05,0.016318082809448242,0.019530057907104492,0.021819114685058594,0.024139404296875003,2.4647378342955344,0.5077419904358598,0.0,8,4.0,0.8444444444444444,0.857359143506002,0.15555555555555556,0.14264085649399805,0.25272943654532354,0.7147182870120039,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0,0.0,2,0.08536585365853659,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,1,0,80,24286.0,1.4696118831634521,16525.45156869753,54.43614121287171,303.575,69.1805201989693,42.0,374.0,316.0,137.00000000000003,285.6,293.0,343.0,354.0,354.0,-2.8156155866386534,7.773173526897052,2.2875214268255974,0.6984043494968413,0.018602682065360154,0.0072084394644079,1.0013580322265625e-05,0.027714967727661133,0.004090976715087892,0.017968058586120605,0.020666122436523438,0.02283298969268799,0.024752426147460937,2.483330361699126,0.38747380432983924,0.0,5,4.0,0.95,0.9455653462900436,0.05,0.05443465370995635,0.059390206100345344,0.8911306925800873,0.075,0.925,0.0,0.0,0.05,0.0,2,0.0547945205479452,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,2,0,81,24519.0,1.4805231094360352,16561.03835443666,54.71039221458336,302.7037037037037,70.89488731926284,42.0,374.0,314.0,142.0,286.0,298.0,342.0,350.0,354.0,-2.679123136838568,6.805723456783117,2.2602615382344458,0.6358982789263349,0.01850653886795044,0.00669040537762687,1.0013580322265625e-05,0.027714967727661133,0.004825520515441895,0.01728123426437378,0.019981026649475098,0.022515833377838135,0.024454736709594728,2.505463865835264,0.3614962219105569,0.0,5,3.8,0.9753086419753086,0.9720624821566948,0.024691358024691357,0.02793751784330519,1586.0835319951636,0.9441249643133897,0.08641975308641975,0.9135802469135802,0.0,0.0,0.04938271604938271,0.0,2,0.02666666666666667,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,3,0,79,24840.0,1.4716660976409912,16878.82872332067,53.6806549574208,314.43037974683546,36.78562031393665,154.0,358.0,318.0,277.8,286.0,300.0,342.0,350.0,354.0,-2.287082479769886,7.265600141637748,2.388598461956849,-0.0993515886438055,0.0188675140723204,0.005460528969926096,1.1920928955078125e-05,0.026823997497558594,0.015175533294677735,0.01715606451034546,0.019805431365966797,0.021847844123840332,0.023903918266296384,2.427951900531614,0.2893989928934862,0.0,4,3.25,0.9746835443037974,0.9752818035426731,0.02531645569620253,0.024718196457326893,1498.6559919849255,0.9505636070853463,0.0379746835443038,0.9620253164556962,0.0,0.0,0.0,0.0,2,0.025974025974025976,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,4,0,81,25285.0,1.4916410446166992,16951.129154868075,54.30260872233791,312.1604938271605,35.33733617791806,170.0,366.0,318.0,278.0,286.0,298.0,334.0,350.0,354.0,-2.058194025826038,6.421711476656192,2.6158342033043436,-0.048408759365899875,0.01864551305770874,0.005861036917405336,1.0967254638671875e-05,0.026823997497558594,0.013507914543151856,0.017261028289794922,0.02003633975982666,0.021673262119293213,0.023974871635437014,2.444018082100823,0.3143234823189796,0.0,4,3.25,0.9506172839506173,0.9492584536286336,0.04938271604938271,0.05074154637136642,0.059086303955831365,0.8985169072572672,0.037037037037037035,0.9629629629629629,0.0,0.0,0.0,0.0,2,0.05128205128205128,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,5,0,80,24679.0,1.4984221458435059,16469.99149635997,53.3894938898982,308.4875,37.12108354762829,138.0,366.0,314.0,276.3,281.6,294.0,331.0,342.40000000000003,346.4,-2.3123817870745977,7.580530560540348,2.389946571856106,0.0741114742045566,0.018967368934727922,0.005912959027201171,1.0967254638671875e-05,0.029308080673217773,0.013279914855957031,0.018061518669128418,0.020024776458740234,0.022271037101745605,0.023998165130615236,2.5442077081144108,0.3117273313034063,0.0,3,3.6666666666666665,0.95,0.9506057781919851,0.05,0.049394221808014914,0.06017270178713488,0.9012115563839702,0.05,0.95,0.0,0.0,0.0,0.0,2,0.05194805194805195,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,6,0,76,23298.0,1.47328519821167,15813.638817711606,51.58539574839394,306.55263157894734,35.744117932311646,138.0,350.0,310.0,278.0,282.0,290.0,330.0,344.0,346.0,-2.629925915797066,10.446795004076906,2.3633566622884423,0.10246035578295906,0.019643802642822266,0.005307927183574389,1.3113021850585938e-05,0.029308080673217773,0.014423036575317382,0.0176849365234375,0.020233869552612305,0.022856593132019043,0.024269723892211915,2.5411657069783455,0.27019498643391954,0.0,2,3.5,0.9736842105263158,0.9763928234183191,0.02631578947368421,0.023607176581680833,1430.0260589308384,0.9527856468366384,0.039473684210526314,0.9605263157894737,0.0,0.0,0.0,0.0,2,0.02702702702702703,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,7,0,37,11382.0,0.7097301483154297,16037.08117376103,52.13249019760658,307.6216216216216,35.66158607934689,138.0,350.0,314.0,281.2,286.0,294.0,330.0,346.0,350.0,-2.6932005150073066,11.168223357870515,2.2078682297921493,-0.005021894168670465,0.01971472634209527,0.0046748434176845785,0.0013849735260009766,0.028667926788330078,0.014732122421264648,0.01748335361480713,0.02028799057006836,0.02203524112701416,0.024257421493530273,2.5538676263110522,0.2371124115119851,0.0,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.02702702702702703,0.972972972972973,0.0,0.0,0.0,0.0,1,0.0,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,-1,1,414,120156.0,10.217036008834839,11760.357886191174,40.520557981982975,290.231884057971,34.06762736990319,42.0,514.0,290.0,254.0,254.0,270.0,314.0,326.0,330.0,-0.5154470006613803,19.585435019539702,1.61491937796445,0.24133148593191886,0.024738585977808328,0.10718634124372743,6.914138793945312e-05,2.1983189582824707,0.016076040267944337,0.018162965774536133,0.020064115524291992,0.02190399169921875,0.02335205078125,0.024530133164031423,4.3325842776784835,0.2151621034105731,13,3.1538461538461537,0.9637681159420289,0.9579713039715038,0.036231884057971016,0.042028696028496286,0.03893142410637842,0.9159426079430074,0.004830917874396135,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,2,0.04914004914004914,voip,transport,ikev2,AES_GCM_16_128,PASS,0
